ID,Station Name,Street Address,City,State,ZIP,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Network,Latitude,Longitude,Open Date,EV Connector Types,Facility Type,EV Pricing,EV Workplace Charging,Station Density,Nearest Station Distance (km),Nearest Station Name,Nearest Urban Center,Distance to Nearest Urban Center (km),Is_Underserved,Underserved_Cluster
194029,Yosemite National Park - Yosemite Lodge,7590 Dogwood Ln,Yosemite West,CA,ZCTA5 95389,,4.0,,Non-Networked,37.743182,-119.597748,2021-07-15,J1772,NATL_PARK,Free,False,48,0.0,Yosemite National Park - Yosemite Lodge,"Fish Camp, CA, USA",29.69199926959088,True,45
194903,"Walgreens - Banning, CA #5182",60 N. Highland Springs Drive,Banning,CA,ZCTA5 92220,,1.0,,Blink Network,33.9296565,-116.9462461,2011-12-29,J1772,PARKING_LOT,$2.00/Hr Parking Fee,False,14,0.19513299344133486,Banning Farm's House Restaurant,"Redlands, CA, USA",25.895851835216234,True,9
195695,Outlets at Tejon - Tesla Supercharger,5701 Outlets at Tejon Parkway,Arvin,CA,ZCTA5 93203,,,76.0,Tesla,34.985735,-118.943854,2021-09-03,TESLA,SHOPPING_MALL,,False,6,0.24497951450728095,OutletsAtTejon_Arvin_S,"Bakersfield, CA, USA",46.24395485807862,True,29
196048,DC CORRIDOR LOS BANOS DC1,1458 Mercey Springs Rd,Los Banos,CA,ZCTA5 93635,,,1.0,ChargePoint Network,37.055397,-120.8352,2021-09-18,CHADEMO J1772COMBO,PARKING_LOT,,False,6,0.00561125420079696,DC CORRIDOR LOS BANOS 4K,"Gustine, CA, USA",26.87759031096112,True,24
196269,Maxwell Rest Area - Northbound,"Maxwell Rest Area, I-5",Williams,CA,ZCTA5 95987,,,1.0,Non-Networked,39.24016559,-122.1804312,2021-09-17,CHADEMO J1772COMBO,REST_STOP,Free,False,3,9.684508799099712,Granzella’s Inn,"Sutter, CA, USA",38.0548682612725,True,52
197607,MENDO COLLEGE FORTBRAGG EV1,1211 Del Mar Dr,Fort Bragg,CA,ZCTA5 95437,,2.0,,ChargePoint Network,39.422412,-123.810848,2021-10-12,J1772,COLLEGE_CAMPUS,,False,11,0.3045864433370028,BOATYARD NEW STATION,"Willits, CA, USA",39.13639069936881,True,12
197663,GVCOURTYARD 8 PARKING LOT,209 N Auburn St,Grass Valley,CA,ZCTA5 95945,,2.0,,ChargePoint Network,39.22041,-121.06211,2021-10-13,J1772,PARKING_LOT,,False,13,0.006052363985283052,GVCOURTYARD 8 PARKING LOT-2,"Auburn, CA, USA",36.03263454708384,True,38
197664,GVCOURTYARD 8 PARKING LOT-2,209 N Auburn St,Grass Valley,CA,ZCTA5 95945,,2.0,,ChargePoint Network,39.220463,-121.062126,2021-10-13,J1772,PARKING_LOT,,False,13,0.006052363985283052,GVCOURTYARD 8 PARKING LOT,"Auburn, CA, USA",36.03847527552737,True,38
197666,GVCOURTYARD HANDICAPPED,210 N Auburn St,Grass Valley,CA,ZCTA5 95945,,2.0,,ChargePoint Network,39.220439,-121.062757,2021-10-13,J1772,PARKING_LOT,,False,13,0.006476153006823751,Grass Valley Courtyard Suites - Tesla Destination,"Auburn, CA, USA",36.03392223044866,True,38
197667,GVCOURTYARD 5 PARKING LOT,224 N Auburn St,Grass Valley,CA,ZCTA5 95945,,2.0,,ChargePoint Network,39.22054,-121.063028,2021-10-13,J1772,PARKING_LOT,,False,13,0.02590613978109396,GVCOURTYARD HANDICAPPED,"Auburn, CA, USA",36.0443619390249,True,38
197693,DC CORRIDOR CARL'S JR. L2,1842 Fort Jones Rd,Yreka,CA,ZCTA5 96097,,2.0,,ChargePoint Network,41.702355,-122.645181,2021-10-14,J1772,PARKING_LOT,,False,5,0.00486528282005298,DC CORRIDOR CARL'S JR DC,"Somes Bar, CA, USA",78.09177846737273,True,49
197834,GVCOURTYARD 5 PARKING LOT-2,224 N Auburn St,Grass Valley,CA,ZCTA5 95945,,2.0,,ChargePoint Network,39.220886,-121.06288,2021-10-16,J1772,PARKING_LOT,,False,13,0.040530886028551774,GVCOURTYARD 5 PARKING LOT,"Auburn, CA, USA",36.08324019903091,True,38
197916,DC CORRIDOR KOHLS BMONT DC2,1479 E 2nd St,Beaumont,CA,ZCTA5 92223,,,1.0,ChargePoint Network,33.921956,-116.955913,2021-10-20,CHADEMO J1772COMBO,PARKING_LOT,,False,14,0.0028754350931463296,DC CORRIDOR KOHLS BMONT DC1,"Moreno Valley, CA, USA",25.359568555015848,True,9
197928,DC CORRIDOR KOHLS BMONT DC1,1479 E 2nd St,Beaumont,CA,ZCTA5 92223,,,1.0,ChargePoint Network,33.921949,-116.955883,2021-10-20,CHADEMO J1772COMBO,PARKING_LOT,,False,14,0.0028754350931463296,DC CORRIDOR KOHLS BMONT DC2,"Moreno Valley, CA, USA",25.362396126333756,True,9
198181,DC CORRIDOR MT SHASTA DC,134 Morgan Way,Mount Shasta,CA,ZCTA5 96067,,,1.0,ChargePoint Network,41.30991,-122.316518,2021-10-24,CHADEMO J1772COMBO,PARKING_LOT,,False,15,0.006567697748510844,DC CORRIDOR MT SHASTA L2,"Redding, CA, USA",80.68237373086593,True,32
198184,DC CORRIDOR DUNSMUIR DC,4917 Dunsmuir Ave,Dunsmuir,CA,ZCTA5 96025,,,1.0,ChargePoint Network,41.222996,-122.276237,2021-10-24,CHADEMO J1772COMBO,PARKING_LOT,,False,3,0.0013983320459694199,DC CORRIDOR DUNSMUIR L2,"Redding, CA, USA",71.43255730009035,True,32
198204,DC CORRIDOR CARL'S JR DC,1842 Fort Jones Rd,Yreka,CA,ZCTA5 96097,,,1.0,ChargePoint Network,41.702338,-122.645127,2021-10-25,CHADEMO J1772COMBO,PARKING_LOT,,False,5,0.00486528282005298,DC CORRIDOR CARL'S JR. L2,"Somes Bar, CA, USA",78.09488925281829,True,49
