ID,Station Name,Street Address,City,State,ZIP,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Network,Latitude,Longitude,Open Date,EV Connector Types,Facility Type,EV Pricing,EV Workplace Charging,Station Density,Nearest Station Distance (km),Nearest Station Name,Nearest Urban Center,Distance to Nearest Urban Center (km),Is_Underserved,Underserved_Cluster,Area Name,Population,LandArea_SQMI,Mean Income ($),Housing Density,500K-1M,1M-1.5M,1.5M-2M,Over2M,Population to Station Ratio
167297,Cinemark 2600 W Avenue I Lancaster CA,2600 W. Avenue I,Lancaster,CA,ZCTA5 93536,,4,,SHELL_RECHARGE,34.702575,-118.177321,9/28/2020,J1772,PARKING_LOT,,FALSE,39,0.5567384833792207,Hampton Inn Lancaster,"Lancaster, CA, USA",2.750570210426635,TRUE,18,ZCTA5 93536,74283,254.356,115774,15559,4771,196,108,123,1857.075
167524,Foods Co 387,2443-H DELA ROSA SR ST,Soledad,CA,ZCTA5 93960,,,4,Electrify America,36.41501,-121.32015,10/14/2020,CHADEMO J1772COMBO,GROCERY,,FALSE,5,0.1202432020832258,Soledad Mission Shopping Center,"Salinas, CA, USA",41.84376161594677,TRUE,128,ZCTA5 93960,26093,174.129,89339,2745,1347,100,9,25,4348.833333333333
167578,Target - Tesla Supercharger,950 Groveland Lane,Lincoln,CA,ZCTA5 95648,,,8,Tesla,38.869525,-121.303081,10/12/2020,TESLA,SHOPPING_CENTER,,FALSE,27,0.047982023,TARGET T2214 STATION 1,"Roseville, CA, USA",13.11943341285443,TRUE,5,ZCTA5 95648,54483,144.298,128831,17356,11003,858,80,216,1945.8214285714287
167708,DC CORRIDOR LUCKYS SS L2,90 Cisco Rd,Soda Springs,CA,ZCTA5 95728,,2,,ChargePoint Network,39.308602,-120.545719,10/23/2020,J1772,PARKING_LOT,,FALSE,4,0.0032258,DC CORRIDOR LUCKYS SS DC2,"Goodyears Bar, CA, USA",38.82868703804132,TRUE,121,ZCTA5 95728,457,27.992,132991,172,71,36,9,21,91.4
167781,Antelope Valley Mall - Tesla Supercharger,1233 Rancho Vista Boulevard,Palmdale,CA,ZCTA5 93551,,,20,Tesla,34.606457,-118.150932,10/19/2020,TESLA,SHOPPING_MALL,,FALSE,44,0.1322140658930148,Antelope Valley Mall - North Parking,"Palmdale, CA, USA",4.852598978631689,TRUE,18,ZCTA5 93551,56001,84.756,129379,13292,5970,208,53,22,1244.4666666666667
167895,"BOA Sonoma CA3-109 (Sonoma, CA)",35 W Napa St,Sonoma,CA,ZCTA5 95476,,,4,Electrify America,38.29122,-122.4587,10/28/2020,CHADEMO J1772COMBO,PARKING_LOT,,FALSE,16,0.079700706,SONOMA VLY INN BEST WESTERN,"Sonoma, CA, USA",0.4664168477040914,TRUE,42,ZCTA5 95476,34575,107.637,146796,9908,5185,1637,489,1228,2033.8235294117646
168097,DC CORRIDOR TARGET H DC3,1790 Airline HWY,Hollister,CA,ZCTA5 95023,,,1,ChargePoint Network,36.834846,-121.390182,11/3/2020,CHADEMO J1772COMBO,PARKING_LOT,,FALSE,11,0.003186554,DC CORRIDOR TARGET H DC2,"Gilroy, CA, USA",24.73720186657756,TRUE,139,ZCTA5 95023,56973,394.828,126482,11351,7962,947,280,183,4747.75
168098,CITY OF INDIO CITY HALL 2,100 Civic Center Dr,Indio,CA,ZCTA5 92201,,2,,ChargePoint Network,33.719511,-116.218306,11/3/2020,J1772,MUNI_GOV,,FALSE,38,0.008896075,CITY OF INDIO CITY HALL 1,"Indio, CA, USA",0.2801863273105843,TRUE,73,ZCTA5 92201,66989,16.213,79240,14440,1898,230,29,34,1717.6666666666667
168129,CHEVRON JQ JENSEN DC 2,2885 E Jensen Ave,Fresno,CA,ZCTA5 93706,,,1,ChargePoint Network,36.707535,-119.776604,11/5/2020,CHADEMO J1772COMBO,GAS_STATION,,FALSE,53,0.003591664,CHEVRON JQ JENSEN DC 1,"Calwa, CA, USA",1.6494054768853466,TRUE,52,ZCTA5 93706,40965,158.487,60511,4264,265,135,51,51,758.6111111111111
168158,Amor Wellness Center,121 Belmont Ave,Mendota,CA,ZCTA5 93640,,7,,Non-Networked,36.749094,-120.386481,6/11/2020,J1772,OTHER_ENTERTAINMENT,Unknown; approximately $0.15 - $0.25 per kWh,FALSE,11,0,Amor Wellness Center,"Madera, CA, USA",37.102375925587445,TRUE,58,ZCTA5 93640,13865,157.929,49907,1464,43,5,0,11,1155.4166666666667
